listing,address,city,neighbourhood,beds,baths,property_type,unit_type,sold_date,sell_price,ask_price_final,ask_price_orig,sqft,age,property_tax,ownership_type,maintenance_fee,rules,zoning
R2426046,# 1211 2763 CHANDLERY PLACE,Vancouver,South Marine,1,1,Apartment,Upper Unit,2020-01-18,390000,399000,399000,488,21,827.64,Freehold Strata,292.72,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CD-1
R2439409,# 803 2763 CHANDLERY PLACE,Vancouver,South Marine,1,1,Apartment,1 Storey,2020-03-02,407500,424900,424900,520,20,871.4,Freehold Strata,314.24,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CD-1
R2439315,# 702 2733 CHANDLERY PLACE,Vancouver,South Marine,1,1,Apartment,Upper Unit,2020-03-04,452500,429000,429000,617,21,970.55,Freehold Strata,374.21,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CD-1
R2416093,# 305 2763 CHANDLERY PLACE,Vancouver,South Marine,1,1,Apartment,1 Storey,2020-01-18,390000,411000,411000,555,21,854.9,Freehold Strata,290.12,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CD-1
R2427639,# 607 2733 CHANDLERY PLACE,Vancouver,South Marine,2,1,Apartment,"Corner Unit, Inside Unit",2020-01-09,512000,539000,539000,791,21,1170.76,Freehold Strata,473.96,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CD-1
R2436380,# 303 2020 E KENT AVENUE SOUTH AVENUE,Vancouver,South Marine,2,1,Apartment,Inside Unit,2020-04-15,545000,548000,598000,879,26,1250.23,Freehold Strata,393.0,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CD-1
R2446335,# 102 1880 E KENT AVENUE SOUTH,Vancouver,South Marine,2,1,Apartment,Ground Level Unit,2020-05-16,580000,599000,599000,883,25,1506.73,Freehold Strata,369.18,"Pets Allowed, Rentals Allowed",CD1
R2438661,# 303 1880 E KENT AVENUE SOUTH,Vancouver,South Marine,1,1,Apartment,Inside Unit,2020-03-03,445000,399900,399900,700,25,1289.81,Freehold Strata,284.72,"Pets Allowed with Restrictions, Rentals Allowed",CD-1
R2425478,# 305 5280 OAKMOUNT CRESCENT,Burnaby,Oaklands,2,1,Apartment,1 Storey,2020-01-12,595000,619000,619000,1134,25,2565.99,Freehold Strata,464.09,"Pets Allowed with Restrictions, Rentals Not Allowed",CD
R2428720,# 404 5262 OAKMOUNT CRESCENT,Burnaby,Oaklands,2,1,Apartment,"Inside Unit, Upper Unit",2020-01-29,590000,617000,599999,1111,26,2547.5,Freehold Strata,345.35,"Pets Allowed, Rentals Not Allowed",MF
R2441751,# 300 6388 MARLBOROUGH AVENUE,Burnaby,Forest Glen BS,2,2,Apartment,Corner Unit,2020-03-08,550000,549000,549000,974,28,2295.64,Freehold Strata,267.24,"Pets Not Allowed, Rentals Allowed with Restrictions",MF
R2413447,# 309 5355 LANE STREET,Burnaby,Metrotown,2,2,Apartment,1 Storey,2020-01-16,585000,628000,628000,754,1,,Freehold Strata,298.25,"Pets Allowed, Rentals Allowed",C9A
R2448035,# 415 6888 ROYAL OAK AVENUE,Burnaby,Metrotown,1,1,Apartment,Penthouse,2020-03-30,470000,499000,499000,714,8,2255.68,Freehold Strata,200.0,No Restrictions,CD
R2394756,# 207 6875 DUNBLANE AVENUE,Burnaby,Metrotown,2,2,Apartment,Corner Unit,2020-01-08,593000,625000,625000,769,4,2259.09,Freehold Strata,217.0,"Pets Allowed with Restrictions, Rentals Allowed",MF
R2425304,# 2406 5051 IMPERIAL STREET,Burnaby,Metrotown,1,1,Apartment,1 Storey,2020-01-01,570000,589000,589000,546,1,,Freehold Strata,260.0,No Restrictions,STRATA
R2437176,# 1505 4888 HAZEL STREET,Burnaby,Forest Glen BS,2,1,Apartment,"Corner Unit, Upper Unit",2020-02-23,545000,549900,549900,789,24,2545.59,Freehold Strata,287.0,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CD
R2428654,# 2107 4808 HAZEL STREET,Burnaby,Forest Glen BS,1,1,Apartment,Inside Unit,2020-02-03,520000,549900,549900,555,12,2217.82,Freehold Strata,179.24,"Pets Allowed with Restrictions, Rentals Allowed",APT
