listing,address,city,neighbourhood,beds,baths,property_type,unit_type,sold_date,sell_price,ask_price_final,ask_price_orig,sqft,age,property_tax,ownership_type,maintenance_fee,rules,zoning
R2443093,# 304 7465 SANDBORNE AVENUE,Burnaby,South Slope,1,1,Apartment,1 Storey,2020-03-16,430000,425000,425000,754,30,1972.81,Freehold Strata,305.84,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CD
R2466634,# 110 7418 BYRNEPARK WALK,Burnaby,South Slope,2,2,Apartment,"Corner Unit, Ground Level Unit",2020-06-20,598000,598000,598000,792,9,2418.78,Freehold Strata,273.76,"Pets Allowed with Restrictions, Rentals Allowed",CD
R2426563,# 508 7478 BYRNEPARK WALK,Burnaby,South Slope,1,1,Apartment,Upper Unit,2020-02-02,465000,475000,475000,616,11,2111.95,Freehold Strata,210.87,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions, Smoking Restrictions",CD
R2456731,# 417 7478 BYRNEPARK WALK,Burnaby,South Slope,2,2,Apartment,"1 Storey, Penthouse",2020-05-21,574000,574800,574800,796,11,1726.24,Freehold Strata,267.0,"Pets Allowed with Restrictions, Rentals Allowed",CD
R2426034,# 1001 7388 SANDBORNE AVENUE,Burnaby,South Slope,2,2,Apartment,1 Storey,2020-01-20,598000,629000,629000,842,18,2462.0,Freehold Strata,337.64,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CD
R2423881,# 904 7388 SANDBORNE AVENUE,Burnaby,South Slope,2,2,Apartment,1 Storey,2020-01-13,515000,530000,530000,710,18,2203.51,Freehold Strata,299.0,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",MF
R2396334,# 1104 7368 SANDBORNE AVENUE,Burnaby,South Slope,2,2,Apartment,Upper Unit,2020-02-20,568000,618888,618888,706,18,2030.4,Freehold Strata,264.0,"Pets Allowed, Rentals Allowed with Restrictions",APT
R2439068,# 505 7388 SANDBORNE AVENUE,Burnaby,South Slope,2,2,Apartment,Corner Unit,2020-03-05,585000,599000,599000,842,18,2388.17,Freehold Strata,369.9,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CD
R2433825,# 707 7368 SANDBORNE AVENUE,Burnaby,South Slope,2,2,Apartment,Corner Unit,2020-02-21,588500,598000,598000,812,18,2371.0,Freehold Strata,355.67,"Pets Allowed, Rentals Allowed with Restrictions",APT
R2444867,# 907 7368 SANDBORNE AVENUE,Burnaby,South Slope,2,2,Apartment,"Corner Unit, Upper Unit",2020-03-22,592000,599000,599000,841,29,2396.7,Freehold Strata,355.67,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions, Smoking Restrictions",CD
R2449182,# 113 9584 MANCHESTER DRIVE,Burnaby,Cariboo,2,1,Apartment,Ground Level Unit,2020-05-26,404000,419000,419000,889,39,1936.6,Freehold Strata,435.73,"Pets Allowed with Restrictions, Rentals Allowed",CD
R2424256,# 1203 3771 BARTLETT COURT,Burnaby,Sullivan Heights,1,1,Apartment,Corner Unit,2020-01-20,340000,360000,360000,673,43,1759.01,Freehold Strata,351.14,"Pets Allowed with Restrictions, Rentals Not Allowed",RM5
R2437245,8867 HORNE STREET,Burnaby,Government Road,3,3,Townhouse,,2020-03-14,560000,570000,570000,1422,45,2318.61,Freehold Strata,498.87,"Pets Allowed with Restrictions, Rentals Not Allowed",RM1
R2428796,# 227 9061 HORNE STREET,Burnaby,Government Road,2,2,Townhouse,,2020-01-21,595000,574999,574999,1335,45,2426.46,Freehold Strata,290.53,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CD
R2465888,# 211 3399 NOEL DRIVE,Burnaby,Sullivan Heights,1,1,Apartment,Inside Unit,2020-06-18,511000,528000,528000,685,3,2167.92,Freehold Strata,244.41,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",RM2
R2445097,# 214 3420 BELL AVENUE,Burnaby,Sullivan Heights,1,1,Apartment,1 Storey,2020-05-12,395000,408000,408000,678,38,1757.95,Freehold Strata,273.62,"Pets Allowed with Restrictions, Rentals Allowed",RM3
R2437759,# 204 9880 MANCHESTER DRIVE,Burnaby,Cariboo,2,1,Apartment,Other,2020-02-23,427000,428000,428000,896,39,1171.0,Freehold Strata,312.1,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CD RM3
R2449731,# 508 9890 MANCHESTER DRIVE,Burnaby,Cariboo,2,1,Apartment,End Unit,2020-06-09,415000,415000,415000,886,40,1788.82,Freehold Strata,310.21,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CD
R2438482,# 212 9880 MANCHESTER DRIVE,Burnaby,Cariboo,2,1,Apartment,Ground Level Unit,2020-03-07,373000,399000,399000,876,38,1721.77,Freehold Strata,306.0,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CD
R2441244,# 1401 9603 MANCHESTER DRIVE,Burnaby,Cariboo,2,2,Apartment,5 Plus Level,2020-06-08,470000,529000,529000,857,25,1504.6,Freehold NonStrata,259.09,"Pets Allowed with Restrictions, Rentals Allowed",STRATA
R2436408,# 1208 9633 MANCHESTER DRIVE,Burnaby,Cariboo,2,2,Apartment,Upper Unit,2020-02-17,525000,519000,519000,938,26,1628.93,Freehold Strata,283.51,"Pets Allowed with Restrictions, Rentals Allowed",STRATA
R2448723,# 1307 9623 MANCHESTER DRIVE,Burnaby,Cariboo,2,2,Apartment,1 Storey,2020-06-09,488000,499000,499000,800,25,2077.79,Freehold Strata,241.84,"Pets Allowed with Restrictions, Rentals Allowed",CD
R2451268,# 422 9847 MANCHESTER DRIVE,Burnaby,Cariboo,2,1,Apartment,Penthouse,2020-05-27,410000,419000,439000,864,40,1861.8,Freehold Strata,385.0,"Pets Allowed with Restrictions, Rentals Allowed",RM3
R2449324,# 202 9867 MANCHESTER DRIVE,Burnaby,Cariboo,1,1,Apartment,"Ground Level Unit, Inside Unit",2020-04-29,340000,350000,359800,662,40,1599.69,Freehold Strata,294.13,"Pets Allowed with Restrictions, Rentals Allowed",CD
R2419502,# 308 9867 MANCHESTER DRIVE,Burnaby,Cariboo,1,1,Apartment,Inside Unit,2020-01-27,360000,368000,368000,660,40,1616.47,Freehold Strata,293.18,"Pets Allowed with Restrictions, Rentals Allowed",CD-APT
R2445859,# 316 9857 MANCHESTER DRIVE,Burnaby,Cariboo,2,1,Apartment,Corner Unit,2020-03-19,365000,368000,368000,733,39,1686.23,Freehold Strata,325.7,"Pets Allowed with Restrictions, Rentals Allowed",CD
R2427186,# 225 9847 MANCHESTER DRIVE,Burnaby,Cariboo,2,1,Apartment,"End Unit, Ground Level Unit",2020-01-19,400000,429000,429000,767,40,1139.72,Freehold Strata,341.0,"Pets Allowed with Restrictions, Rentals Allowed",CD RM3
R2456019,# 227 9847 MANCHESTER DRIVE,Burnaby,Cariboo,2,1,Apartment,1 Storey,2020-05-18,400500,373000,373000,878,40,1905.84,Freehold Strata,382.61,"Pets Allowed with Restrictions, Rentals Allowed",CD
R2431318,# 107 9233 GOVERNMENT STREET,Burnaby,Government Road,2,2,Apartment,1 Storey,2020-02-03,530000,498000,498000,868,13,2279.24,Freehold Strata,360.43,"Pets Allowed with Restrictions, Rentals Allowed",CD
R2465545,# 216 9283 GOVERNMENT STREET,Burnaby,Government Road,1,1,Apartment,"1 Storey, Inside Unit",2020-06-20,465000,468000,468000,783,13,2120.14,Freehold Strata,348.86,"Pets Allowed with Restrictions, Rentals Allowed",CD1
R2465545,# 216 9283 GOVERNMENT STREET,Burnaby,Government Road,1,1,Apartment,"1 Storey, Inside Unit",2020-06-20,465000,468000,468000,783,13,2120.14,Freehold Strata,348.86,"Pets Allowed with Restrictions, Rentals Allowed",CD1
R2430139,# 218 9098 HALSTON COURT,Burnaby,Government Road,2,2,Apartment,1 Storey,2020-02-04,525000,524900,524900,866,13,2313.35,Freehold Strata,360.43,"Pets Allowed with Restrictions, Rentals Allowed",CD
R2419111,# 1 9521 CARDSTON COURT,Burnaby,Government Road,3,2,Townhouse,,2019-12-15,515000,539900,539900,1192,37,2323.11,Freehold Strata,452.24,"Pets Not Allowed, Rentals Allowed",RM5
R2428843,# 1105 9521 CARDSTON COURT,Burnaby,Government Road,1,1,Apartment,"1 Storey, Upper Unit",2020-01-19,395000,409000,409000,776,37,1874.21,Freehold Strata,299.77,"Pets Not Allowed, Rentals Allowed",M/F
R2436365,# 303 9521 CARDSTON COURT,Burnaby,Government Road,2,2,Apartment,Corner Unit,2020-02-29,430000,438888,438888,880,37,1814.55,Freehold Strata,396.83,"Pets Not Allowed, Rentals Allowed",CD
R2427851,# 403 9521 CARDSTON COURT,Burnaby,Government Road,2,2,Apartment,"1 Storey, Inside Unit",2020-02-19,436000,439900,459900,878,36,1211.8,Freehold Strata,396.83,Rentals Allowed,RES
R2426809,# 308 9521 CARDSTON COURT,Burnaby,Government Road,2,2,Apartment,Inside Unit,2020-01-22,447500,449900,469900,855,36,1902.64,Freehold Strata,416.74,"Pets Not Allowed, Rentals Allowed",CD
R2445961,# 807 9521 CARDSTON COURT,Burnaby,Government Road,2,2,Apartment,Upper Unit,2020-06-04,450000,475800,488000,874,37,1859.99,Freehold Strata,396.82,"Pets Not Allowed, Rentals Allowed",CD
R2447098,# T6901 3980 CARRIGAN COURT,Burnaby,Government Road,3,2,Townhouse,,2020-06-10,585000,599800,649800,1443,35,2879.64,Freehold Strata,681.95,"Pets Allowed with Restrictions, Rentals Allowed",CD
R2464555,# 1504 3980 CARRIGAN COURT,Burnaby,Government Road,1,1,Apartment,Inside Unit,2020-06-13,413000,420000,420000,821,35,1905.17,Freehold Strata,368.18,"Pets Not Allowed, Rentals Allowed",CD
R2465942,# 1804 3980 CARRIGAN COURT,Burnaby,Government Road,1,1,Apartment,Inside Unit,2020-06-22,460000,483900,483900,779,35,1930.73,Freehold Strata,368.18,"Pets Not Allowed, Rentals Allowed, Smoking Restrictions",CD
R2434398,# 607 3980 CARRIGAN COURT,Burnaby,Government Road,2,2,Apartment,Upper Unit,2020-02-23,460000,459000,459000,920,35,1976.18,Freehold Strata,291.2,"Pets Not Allowed, Rentals Allowed",RM
R2428569,# 1702 3980 CARRIGAN COURT,Burnaby,Government Road,2,2,Apartment,"1 Storey, Upper Unit",2020-01-22,495000,499900,499900,910,35,2169.37,Freehold Strata,287.81,"Pets Not Allowed, Rentals Allowed",APT
R2440583,# 301 3911 CARRIGAN COURT,Burnaby,Government Road,2,2,Apartment,Upper Unit,2020-03-10,480500,485000,485000,1224,48,1448.84,Freehold Strata,605.95,"Pets Allowed with Restrictions, Rentals Not Allowed",MULTI
R2442809,# 207 3911 CARRIGAN COURT,Burnaby,Government Road,1,1,Apartment,Inside Unit,2020-03-12,305000,309000,309000,682,48,1592.18,Freehold Strata,314.9,"Pets Allowed with Restrictions, Rentals Not Allowed","CD,RM3"
R2441002,# 214 3911 CARRIGAN COURT,Burnaby,Government Road,2,1,Apartment,1 Storey,2020-05-29,410000,419900,419900,929,48,1248.0,Freehold Strata,438.96,"Pets Allowed with Restrictions, Rentals Not Allowed",CD
R2436091,# 218 3911 CARRIGAN COURT,Burnaby,Government Road,2,1,Apartment,Upper Unit,2020-02-17,413500,420000,420000,914,48,1840.49,Freehold Strata,357.91,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CD
R2430640,# 314 3911 CARRIGAN COURT,Burnaby,Government Road,2,1,Apartment,"Penthouse, Upper Unit",2020-01-25,435000,429900,429900,929,48,1890.23,Freehold Strata,368.0,"Pets Allowed with Restrictions, Rentals Not Allowed",CD
R2459439,# 1003 3970 CARRIGAN COURT,Burnaby,Government Road,2,2,Apartment,"1 Storey, Inside Unit",2020-05-29,515000,499999,499999,954,33,2095.72,Freehold Strata,318.79,"Pets Allowed with Restrictions, Rentals Allowed",CD
R2439412,# 605 3970 CARRIGAN COURT,Burnaby,Government Road,1,1,Apartment,Other,2020-03-22,410000,420000,449000,799,34,1868.42,Freehold Strata,282.13,"Pets Not Allowed, Rentals Allowed",MFD
R2432080,# 702 3970 CARRIGAN COURT,Burnaby,Government Road,2,2,Apartment,Corner Unit,2020-01-31,461000,469900,469900,863,33,1943.0,Freehold Strata,306.82,"Pets Allowed with Restrictions, Rentals Allowed, Smoking Restrictions",CD
R2437358,# 806 3970 CARRIGAN COURT,Burnaby,Government Road,2,2,Apartment,Corner Unit,2020-02-23,480000,479900,479900,889,35,1976.39,Freehold Strata,314.46,"Pets Allowed with Restrictions, Rentals Allowed",STRATA
R2433118,# 1007 3970 CARRIGAN COURT,Burnaby,Government Road,2,2,Apartment,Upper Unit,2020-02-17,489000,499000,499000,911,33,2004.81,Freehold Strata,323.0,"Pets Not Allowed, Rentals Allowed with Restrictions",APT
R2419217,# 305 3901 CARRIGAN COURT,Burnaby,Government Road,3,2,Apartment,"Corner Unit, Upper Unit",2020-01-11,560000,575000,575000,1240,46,2180.83,Freehold Strata,468.3,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CD
R2445357,# 109 3901 CARRIGAN COURT,Burnaby,Government Road,2,1,Apartment,Ground Level Unit,2020-06-01,380000,385000,419900,898,46,1879.39,Freehold Strata,379.11,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",STRATA
R2449893,# 204 3901 CARRIGAN COURT,Burnaby,Government Road,2,1,Apartment,3 Storey,2020-06-03,395000,399000,429000,936,46,1966.6,Freehold Strata,379.11,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",MF
R2457255,# 117 3901 CARRIGAN COURT,Burnaby,Government Road,3,2,Apartment,"Corner Unit, Ground Level Unit",2020-06-10,525000,532000,532000,1167,46,1544.63,Freehold Strata,470.77,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CD
R2430937,# 1704 3755 BARTLETT COURT,Burnaby,Sullivan Heights,2,2,Apartment,Inside Unit,2020-01-26,430000,435000,435000,949,42,2034.59,Freehold Strata,475.31,"Pets Allowed with Restrictions, Rentals Not Allowed",CD
R2420868,# 805 3755 BARTLETT COURT,Burnaby,Sullivan Heights,1,1,Apartment,Upper Unit,2020-01-20,359000,359900,399900,673,44,1699.02,Freehold Strata,344.7,"Pets Allowed with Restrictions, Rentals Not Allowed",CD
R2427843,# 703 3737 BARTLETT COURT,Burnaby,Sullivan Heights,2,2,Apartment,Corner Unit,2020-04-24,465000,499000,520000,1198,45,2282.62,Freehold Strata,568.45,Rentals Not Allowed,CD
R2452848,# 302 3737 BARTLETT COURT,Burnaby,Sullivan Heights,1,1,Apartment,"Corner Unit, Upper Unit",2020-05-11,340000,354900,354900,622,45,1776.35,Freehold Strata,367.61,No Restrictions,CD
R2453659,# 2305 3737 BARTLETT COURT,Burnaby,Sullivan Heights,1,1,Apartment,"Corner Unit, Upper Unit",2020-06-03,375000,389000,389000,747,45,1961.02,Freehold Strata,400.93,"Pets Allowed with Restrictions, Rentals Not Allowed",CD
R2464486,# 217 9101 HORNE,Burnaby,Government Road,3,3,Apartment,1 Storey,2020-06-14,581000,578000,578000,1130,45,2149.82,Freehold Strata,479.89,"Pets Allowed, Rentals Allowed",STRATA
R2432571,# 116 9101 HORNE STREET,Burnaby,Government Road,3,2,Apartment,"Corner Unit, Ground Level Unit",2020-02-10,473500,480000,480000,1110,45,1426.0,Freehold Strata,475.59,Pets Allowed with Restrictions,CD
R2428264,# 417 9101 HORNE STREET,Burnaby,Government Road,3,2,Apartment,"Penthouse, Upper Unit",2020-01-19,545000,559900,559900,1120,43,2391.33,Freehold Strata,479.89,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CD
R2408270,# 1506 9280 SALISH COURT,Burnaby,Sullivan Heights,2,2,Apartment,Corner Unit,2019-12-15,470000,479000,499000,995,43,1980.77,Freehold Strata,392.49,"Pets Not Allowed, Rentals Not Allowed",CD
R2433764,# 1505 9280 SALISH COURT,Burnaby,Sullivan Heights,1,1,Apartment,"Corner Unit, Upper Unit",2020-02-12,405000,388000,388000,741,43,1801.79,Freehold Strata,301.1,"Pets Not Allowed, Rentals Not Allowed",CD
R2413648,# 1901 9595 ERICKSON DRIVE,Burnaby,Sullivan Heights,2,1,Apartment,"Corner Unit, Upper Unit",2019-12-20,415000,428000,428000,874,39,2021.4,Freehold Strata,323.03,"Pets Not Allowed, Rentals Allowed",RES
R2464006,9118 CENTAURUS CIRCLE,Burnaby,Simon Fraser Hills,3,2,Townhouse,,2020-06-17,480000,499000,499000,1135,38,1373.3,Freehold Strata,484.12,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions","CD,RM2"
R2429693,2965 ARGO PLACE,Burnaby,Simon Fraser Hills,3,2,Townhouse,,2020-01-22,579500,599000,599000,1457,45,2136.97,Freehold Strata,361.61,"Pets Allowed, Rentals Allowed",CD
R2427029,2961 ARGO PLACE,Burnaby,Simon Fraser Hills,1,1,Townhouse,,2020-01-13,410000,418000,418000,724,44,1603.12,Freehold Strata,295.86,"Pets Allowed, Rentals Allowed",STRATA
R2433794,# 104 9145 SATURNA DRIVE,Burnaby,Simon Fraser Hills,3,3,Townhouse,,2020-02-08,432500,435000,435000,1061,44,2028.53,Freehold Strata,506.46,"Pets Allowed, Rentals Allowed",CD
R2455447,# 103 9138 CAPELLA DRIVE,Burnaby,Simon Fraser Hills,2,1,Townhouse,,2020-05-24,350000,329900,329900,896,43,1516.35,Freehold Strata,422.14,"Pets Allowed with Restrictions, Rentals Allowed",CDRM1
R2458893,# 303 9132 CAPELLA DRIVE,Burnaby,Simon Fraser Hills,2,1,Apartment,1 Storey,2020-06-02,401000,389000,389000,830,44,1852.35,Freehold Strata,402.19,"Pets Allowed with Restrictions, Rentals Allowed",CD
R2449590,# 101 9133 CAPELLA DRIVE,Burnaby,Simon Fraser Hills,3,3,Townhouse,,2020-04-27,408000,349000,458000,1045,43,2117.49,Freehold Strata,506.47,"Pets Allowed, Rentals Allowed",CD
R2435901,# 104 9155 SATURNA DRIVE,Burnaby,Simon Fraser Hills,3,3,Apartment,Ground Level Unit,2020-05-13,421000,439800,448000,987,44,2048.41,Freehold Strata,478.32,"Pets Allowed with Restrictions, Rentals Allowed",CD
R2453088,# 55 9101 FOREST GROVE DRIVE,Burnaby,Forest Hills BN,3,2,Townhouse,,2020-05-02,560000,569900,569900,1293,39,2313.76,Freehold Strata,398.89,"Pets Allowed with Restrictions, Rentals Allowed",CD
R2426367,# 6 9151 FOREST GROVE DRIVE,Burnaby,Forest Hills BN,3,2,Townhouse,,2020-01-07,538000,555000,555000,1211,38,2234.56,Freehold Strata,364.0,"Pets Allowed, Rentals Allowed",ROWHOU
R2430693,8566 FLOWERING PLACE,Burnaby,Forest Hills BN,2,1,Townhouse,,2020-02-05,438000,469800,469800,958,39,2102.72,Freehold Strata,217.71,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CD
R2452104,8579 WOODRIDGE PLACE,Burnaby,Forest Hills BN,2,1,Townhouse,,2020-05-04,490000,513000,513000,957,39,2116.92,Freehold Strata,217.71,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",MFD
R2452701,8588 WILDERNESS COURT,Burnaby,Forest Hills BN,2,1,Townhouse,,2020-04-29,489000,489000,489000,969,39,2076.01,Freehold Strata,220.0,Rentals Allowed with Restrictions,CD
R2437155,8242 ELKWOOD PLACE,Burnaby,Forest Hills BN,3,3,Townhouse,,2020-02-24,529000,524990,524990,1154,41,2281.1,Freehold Strata,321.99,"Pets Allowed, Rentals Allowed",CD
R2452282,# 708 9025 HIGHLAND COURT,Burnaby,Simon Fraser Univer.,1,1,Apartment,Upper Unit,2020-04-28,309000,299000,299000,440,7,1781.0,Leasehold prepaid-Strata,214.96,"Pets Allowed with Restrictions, Rentals Allowed",P11
R2429247,# 608 9080 UNIVERSITY CRESCENT,Burnaby,Simon Fraser Univer.,2,2,Apartment,Upper Unit,2020-01-31,540000,549900,549900,873,5,2307.59,Leasehold prepaid-Strata,351.81,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CD
R2450710,# 403 8940 UNIVERSITY CRESCENT,Burnaby,Simon Fraser Univer.,2,2,Apartment,Other,2020-05-19,575900,599900,599900,878,0,,Leasehold prepaid-Strata,386.32,"Pets Allowed with Restrictions, Rentals Allowed",P11
R2436648,# 60 9229 UNIVERSITY CRESCENT,Burnaby,Simon Fraser Univer.,2,2,Townhouse,,2020-02-23,585110,575000,575000,1136,14,1789.16,Leasehold prepaid-Strata,290.33,"Pets Allowed with Restrictions, Rentals Allowed",MF
R2426017,# 307 9298 UNIVERSITY CRESCENT,Burnaby,Simon Fraser Univer.,3,2,Apartment,1 Storey,2020-03-09,578000,599000,649000,1116,15,2288.08,Leasehold prepaid-Strata,452.97,"Pets Allowed, Rentals Allowed, Smoking Restrictions",STRATA
R2455722,# 1502 8850 UNIVERSITY CRESCENT,Burnaby,Simon Fraser Univer.,1,1,Apartment,"End Unit, Upper Unit",2020-05-19,472000,509000,509000,661,1,1056.41,Leasehold prepaid-Strata,266.43,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",P11
R2429492,# 501 8850 UNIVERSITY CRESCENT,Burnaby,Simon Fraser Univer.,1,1,Apartment,1 Storey,2020-02-10,423000,420000,420000,584,1,935.18,Leasehold prepaid-Strata,235.85,"Pets Allowed with Restrictions, Rentals Allowed",P11
R2405407,# 902 9222 UNIVERSITY CRESCENT,Burnaby,Simon Fraser Univer.,2,1,Apartment,Upper Unit,2019-12-14,590000,649000,649000,955,11,2500.56,Leasehold prepaid-Strata,,"Pets Allowed with Restrictions, Rentals Allowed",P11E
R2435160,# 207 9188 UNIVERSITY CRESCENT,Burnaby,Simon Fraser Univer.,1,1,Apartment,Inside Unit,2020-02-16,442000,449000,449000,750,12,1907.65,Leasehold prepaid-Strata,236.3,"Pets Allowed with Restrictions, Rentals Allowed",RM5
R2458033,# 610 9262 UNIVERSITY CRESCENT,Burnaby,Simon Fraser Univer.,1,1,Apartment,Upper Unit,2020-06-08,300000,315000,315000,408,15,1526.56,Leasehold prepaid-Strata,190.58,"Pets Allowed, Rentals Allowed",CONDO
R2428427,# 308 9232 UNIVERSITY CRESCENT,Burnaby,Simon Fraser Univer.,1,1,Apartment,Bachelor/Studio,2020-05-06,295000,295000,325000,440,14,1549.28,Leasehold prepaid-Strata,200.61,"Pets Allowed with Restrictions, Rentals Allowed",P11E
R2460369,# 408 9232 UNIVERSITY CRESCENT,Burnaby,Simon Fraser Univer.,1,1,Apartment,Bachelor/Studio,2020-06-07,298000,299000,299000,434,14,1554.97,Leasehold prepaid-Strata,200.61,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",P11E
R2426114,# 1002 9266 UNIVERSITY CRESCENT,Burnaby,Simon Fraser Univer.,2,2,Apartment,"Corner Unit, Upper Unit",2020-02-12,520000,549000,549000,838,14,2334.54,Leasehold prepaid-Strata,357.04,"Pets Allowed with Restrictions, Rentals Allowed",STRATA
R2441141,# 805 9266 UNIVERSITY CRESCENT,Burnaby,Simon Fraser Univer.,2,2,Apartment,"Inside Unit, Upper Unit",2020-03-06,495000,490000,490000,840,14,2138.49,Leasehold prepaid-Strata,370.11,"Pets Allowed with Restrictions, Rentals Allowed",CD
R2443716,# 203 9329 UNIVERSITY CRESCENT,Burnaby,Simon Fraser Univer.,2,2,Apartment,Corner Unit,2020-04-29,470000,478888,499900,958,16,2213.98,Leasehold prepaid-Strata,321.77,"Pets Allowed, Rentals Allowed",P11E
R2439826,# 108 9329 UNIVERSITY CRESCENT,Burnaby,Simon Fraser Univer.,2,2,Apartment,"1 Storey, Ground Level Unit",2020-04-27,530000,535000,540000,941,16,2165.66,Leasehold prepaid-Strata,310.93,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",P11E
R2458721,# PH2 9250 UNIVERSITY HIGH STREET,Burnaby,Simon Fraser Univer.,2,2,Apartment,1 Storey,2020-06-09,518000,538000,538000,888,8,2196.08,Leasehold prepaid-Strata,360.61,"Pets Allowed with Restrictions, Rentals Allowed",STRATA
R2456771,# 205 9339 UNIVERSITY CRESCENT,Burnaby,Simon Fraser Univer.,2,2,Apartment,Ground Level Unit,2020-05-23,490000,494900,494900,932,16,2145.78,Leasehold prepaid-Strata,310.93,"Pets Allowed with Restrictions, Rentals Allowed",MULTI
R2429935,# 503 9250 UNIVERSITY HIGH STREET,Burnaby,Simon Fraser Univer.,1,1,Apartment,1 Storey,2020-01-26,404000,398000,398000,663,8,1705.01,Leasehold prepaid-Strata,,"Pets Allowed with Restrictions, Rentals Allowed",STRATA
R2451110,# 111 9168 SLOPES MEWS,Burnaby,Simon Fraser Univer.,1,1,Apartment,1 Storey,2020-05-09,418000,423000,423000,664,4,1992.66,Leasehold prepaid-Strata,290.18,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CDP11
R2443492,# 101 9168 SLOPES MEWS,Burnaby,Simon Fraser Univer.,1,1,Apartment,"1 Storey, Ground Level Unit",2020-03-13,420000,425000,425000,646,3,1967.09,Leasehold prepaid-Strata,285.27,"Pets Allowed with Restrictions, Rentals Allowed",CD
R2402599,# 515 9168 SLOPES MEWS,Burnaby,Simon Fraser Univer.,1,1,Apartment,Loft/Warehouse Conv.,2020-02-13,435000,468000,499000,678,3,2086.43,Leasehold prepaid-Strata,309.86,"Pets Allowed with Restrictions, Rentals Allowed",CD
R2428439,# 517 9168 SLOPES MEWS,Burnaby,Simon Fraser Univer.,1,1,Apartment,"1 1/2 Storey, 5 Plus Level",2020-02-19,437500,399999,399999,678,3,2086.43,Leasehold prepaid-Strata,309.86,"Pets Allowed with Restrictions, Rentals Allowed",CDP11
R2440547,# 513 9877 UNIVERSITY CRESCENT,Burnaby,Simon Fraser Univer.,1,1,Apartment,2 Storey,2020-06-04,449000,465000,465000,676,3,2086.43,Leasehold prepaid-Strata,309.86,"Pets Allowed with Restrictions, Rentals Allowed",A.CD
R2412186,# 409 9168 SLOPES MEWS,Burnaby,Simon Fraser Univer.,2,1,Apartment,"1 Storey, Upper Unit",2020-02-27,490000,509000,509000,754,4,2217.12,Leasehold prepaid-Strata,340.0,"Pets Allowed with Restrictions, Rentals Allowed",A.CD
R2452403,3424 COPELAND AVENUE,Vancouver,Champlain Heights,3,3,Townhouse,,2020-04-29,572000,574000,574000,1252,40,1565.12,Leasehold prepaid-Strata,336.38,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CD-1
R2445533,# 203 2288 NEWPORT AVENUE,Vancouver,Fraserview VE,2,1,Apartment,1 Storey,2020-04-06,460000,499000,499000,910,28,1293.39,Freehold Strata,293.12,Rentals Allowed with Restrictions,C-1
R2454452,# 475 8025 CHAMPLAIN CRESCENT,Vancouver,Champlain Heights,2,1,Apartment,2 Storey,2020-06-23,557000,566600,566600,1128,37,1155.51,Leasehold prepaid-Strata,386.68,"Pets Allowed with Restrictions, Rentals Allowed",CD1
R2428911,8171 LAVAL PLACE,Vancouver,Champlain Heights,3,3,Townhouse,,2020-05-14,600000,629000,629000,1485,40,1754.4,Leasehold prepaid-Strata,351.02,"Pets Allowed with Restrictions, Rentals Not Allowed",CD-1
R2404706,# 4 3572 RAINIER PLACE,Vancouver,Champlain Heights,4,4,Townhouse,,2019-12-07,580000,609900,609900,1637,26,1787.69,Leasehold prepaid-Strata,499.67,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CD1
R2457249,# 608 3581 E KENT AVENUE NORTH,Vancouver,South Marine,1,1,Apartment,Inside Unit,2020-06-09,502000,515000,515000,555,0,,Freehold Strata,241.7,"Pets Allowed, Rentals Allowed",RES
R2450396,# 906 8570 RIVERGRASS DRIVE,Vancouver,South Marine,1,1,Apartment,1 Storey,2020-06-04,490000,499000,499000,508,0,,Freehold Strata,236.88,No Restrictions,CD-1
